地名,センター,燃やせるごみ,枝・葉・草,燃やせないごみ,容器プラ,雑がみ,びん・缶・ペット
南区 澄川3条4丁目（7番）・5丁目・6丁目,札幌センター1,月 木,20140502 20140530 20140627 20140725 20140822 20140919,20140221 2014 20140321 20140418 20140516 20140613 20140711 20140808 20140905,火,20140214 20140228 20140314 20140328 20140411 20140425 20140509 20140523 20140606 20140620 20140704 20140718 20140801 20140815 20140829 20140912 20140926,水
南区 澄川4条4丁目（1番18号～27号、2番～11番）・5丁目～12丁目,札幌センター1,月 木,20140502 20140530 20140627 20140725 20140822 20140919,20140221 2014 20140321 20140418 20140516 20140613 20140711 20140808 20140905,火,20140214 20140228 20140314 20140328 20140411 20140425 20140509 20140523 20140606 20140620 20140704 20140718 20140801 20140815 20140829 20140912 20140926,水
南区 澄川5条4丁目（1番・7番～9番）・5丁目（1番～9番）,札幌センター1,月 木,20140502 20140530 20140627 20140725 20140822 20140919,20140221 2014 20140321 20140418 20140516 20140613 20140711 20140808 20140905,火,20140214 20140228 20140314 20140328 20140411 20140425 20140509 20140523 20140606 20140620 20140704 20140718 20140801 20140815 20140829 20140912 20140926,水
南区 澄川5条6丁目（1番～8番）・7丁目～13丁目,札幌センター1,月 木,20140502 20140530 20140627 20140725 20140822 20140919,20140221 2014 20140321 20140418 20140516 20140613 20140711 20140808 20140905,火,20140214 20140228 20140314 20140328 20140411 20140425 20140509 20140523 20140606 20140620 20140704 20140718 20140801 20140815 20140829 20140912 20140926,水
南区 澄川6条7丁目～13丁目,札幌センター1,月 木,20140502 20140530 20140627 20140725 20140822 20140919,20140221 2014 20140321 20140418 20140516 20140613 20140711 20140808 20140905,火,20140214 20140228 20140314 20140328 20140411 20140425 20140509 20140523 20140606 20140620 20140704 20140718 20140801 20140815 20140829 20140912 20140926,水
南区 澄川○番地,札幌センター1,月 木,20140502 20140530 20140627 20140725 20140822 20140919,20140221 2014 20140321 20140418 20140516 20140613 20140711 20140808 20140905,火,20140214 20140228 20140314 20140328 20140411 20140425 20140509 20140523 20140606 20140620 20140704 20140718 20140801 20140815 20140829 20140912 20140926,水
南区 真駒内柏丘・東町・幸町・泉町・南町の○丁目,札幌センター1,月 木,20140502 20140530 20140627 20140725 20140822 20140919,20140221 2014 20140321 20140418 20140516 20140613 20140711 20140808 20140905,火,20140214 20140228 20140314 20140328 20140411 20140425 20140509 20140523 20140606 20140620 20140704 20140718 20140801 20140815 20140829 20140912 20140926,水
南区 石山○条○丁目、○番地（石山1条1丁目12－6パレス藻南公園を除く）,札幌センター1,月 木,20140527 20140624 20140722 20140819 20140916,20140218 20140318 20140415 20140513 20140610 20140708 20140805 20140902 20140930,水,20140211 20140225 20140311 20140325 20140408 20140422 20140506 20140520 20140603 20140617 20140701 20140715 20140729 20140812 20140826 20140909 20140923,金
南区 石山東○丁目,札幌センター1,月 木,20140527 20140624 20140722 20140819 20140916,20140218 20140318 20140415 20140513 20140610 20140708 20140805 20140902 20140930,水,20140211 20140225 20140311 20140325 20140408 20140422 20140506 20140520 20140603 20140617 20140701 20140715 20140729 20140812 20140826 20140909 20140923,金
南区 常盤○条○丁目、○番地,札幌センター1,月 木,20140527 20140624 20140722 20140819 20140916,20140218 20140318 20140415 20140513 20140610 20140708 20140805 20140902 20140930,水,20140211 20140225 20140311 20140325 20140408 20140422 20140506 20140520 20140603 20140617 20140701 20140715 20140729 20140812 20140826 20140909 20140923,金
南区 滝野○番地,札幌センター1,月 木,20140527 20140624 20140722 20140819 20140916,20140218 20140318 20140415 20140513 20140610 20140708 20140805 20140902 20140930,水,20140211 20140225 20140311 20140325 20140408 20140422 20140506 20140520 20140603 20140617 20140701 20140715 20140729 20140812 20140826 20140909 20140923,金
南区 真駒内○番地（自衛隊真駒内駐屯地を除く）,札幌センター1,月 木,20140527 20140624 20140722 20140819 20140916,20140218 20140318 20140415 20140513 20140610 20140708 20140805 20140902 20140930,水,20140211 20140225 20140311 20140325 20140408 20140422 20140506 20140520 20140603 20140617 20140701 20140715 20140729 20140812 20140826 20140909 20140923,金
南区 芸術の森○丁目,札幌センター1,月 木,20140527 20140624 20140722 20140819 20140916,20140218 20140318 20140415 20140513 20140610 20140708 20140805 20140902 20140930,水,20140211 20140225 20140311 20140325 20140408 20140422 20140506 20140520 20140603 20140617 20140701 20140715 20140729 20140812 20140826 20140909 20140923,金
南区 藤野○条○丁目、○番地,札幌センター1,月 木,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,金,20140212 20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,火
南区 白川○番地,札幌センター1,月 木,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,金,20140212 20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,火
南区 簾舞○条○丁目、○番地,札幌センター1,月 木,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,金,20140212 20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,火
南区 砥山○番地,札幌センター1,月 木,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,金,20140212 20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,火
南区 豊滝○番地,札幌センター1,月 木,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,金,20140212 20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,火
南区 硬石山○番地,札幌センター1,月 木,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,金,20140212 20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,火
南区 小金湯○番地,札幌センター1,月 木,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,金,20140212 20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,火
南区 定山渓温泉西・東の○丁目,札幌センター1,月 木,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,金,20140212 20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,火
南区 定山渓○番地,札幌センター1,月 木,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,金,20140212 20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,火
南区 澄川1条1丁目～4丁目,札幌センター1,火 金,20140526 20140623 20140721 20140818 20140915,20140217 20140317 20140414 20140512 20140609 20140707 20140804 20140901 20140929,木,20140224 20140310 20140324 20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
南区 澄川2条1丁目～3丁目・4丁目（1番～11番）,札幌センター1,火 金,20140526 20140623 20140721 20140818 20140915,20140217 20140317 20140414 20140512 20140609 20140707 20140804 20140901 20140929,木,20140224 20140310 20140324 20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
南区 澄川3条1丁目～3丁目・4丁目（1番～6番）,札幌センター1,火 金,20140526 20140623 20140721 20140818 20140915,20140217 20140317 20140414 20140512 20140609 20140707 20140804 20140901 20140929,木,20140224 20140310 20140324 20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
南区 澄川4条1丁目～3丁目・4丁目（1番1号～17号）,札幌センター1,火 金,20140526 20140623 20140721 20140818 20140915,20140217 20140317 20140414 20140512 20140609 20140707 20140804 20140901 20140929,木,20140224 20140310 20140324 20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
南区 澄川5条3丁目・4丁目（2番～6番）,札幌センター1,火 金,20140526 20140623 20140721 20140818 20140915,20140217 20140317 20140414 20140512 20140609 20140707 20140804 20140901 20140929,木,20140224 20140310 20140324 20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
南区 澄川5条5丁目（10番～19番）・6丁目（9番～14番）,札幌センター1,火 金,20140526 20140623 20140721 20140818 20140915,20140217 20140317 20140414 20140512 20140609 20140707 20140804 20140901 20140929,木,20140224 20140310 20140324 20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
南区 澄川6条3丁目～6丁目,札幌センター1,火 金,20140526 20140623 20140721 20140818 20140915,20140217 20140317 20140414 20140512 20140609 20140707 20140804 20140901 20140929,木,20140224 20140310 20140324 20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
南区 真駒内本町・曙町・上町・緑町の○丁目,札幌センター1,火 金,20140526 20140623 20140721 20140818 20140915,20140217 20140317 20140414 20140512 20140609 20140707 20140804 20140901 20140929,木,20140224 20140310 20140324 20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
南区 真駒内○番地（自衛隊真駒内駐屯地のみ）,札幌センター1,火 金,20140526 20140623 20140721 20140818 20140915,20140217 20140317 20140414 20140512 20140609 20140707 20140804 20140901 20140929,木,20140224 20140310 20140324 20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
南区 南30条～39条の西○丁目,札幌センター1,火 金,20140501 20140529 20140626 20140724 20140821 20140918,20140220 20140320 20140417 20140515 20140612 20140710 20140807 20140904,月,20140227 20140313 20140327 20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140731 20140814 20140828 20140911 20140925,水
南区 藻岩下○丁目、○番地,札幌センター1,火 金,20140501 20140529 20140626 20140724 20140821 20140918,20140220 20140320 20140417 20140515 20140612 20140710 20140807 20140904,月,20140227 20140313 20140327 20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140731 20140814 20140828 20140911 20140925,水
南区 川沿1条～6条の○丁目,札幌センター1,火 金,20140501 20140529 20140626 20140724 20140821 20140918,20140220 20140320 20140417 20140515 20140612 20140710 20140807 20140904,月,20140227 20140313 20140327 20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140731 20140814 20140828 20140911 20140925,水
南区 北ノ沢○丁目、○番地,札幌センター1,火 金,20140501 20140529 20140626 20140724 20140821 20140918,20140220 20140320 20140417 20140515 20140612 20140710 20140807 20140904,月,20140227 20140313 20140327 20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140731 20140814 20140828 20140911 20140925,水
南区 中ノ沢○丁目、○番地,札幌センター1,火 金,20140501 20140529 20140626 20140724 20140821 20140918,20140220 20140320 20140417 20140515 20140612 20140710 20140807 20140904,月,20140227 20140313 20140327 20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140731 20140814 20140828 20140911 20140925,水
南区 南沢○条○丁目、○番地（南沢1条3丁目1番（南沢やまどり公園）、20番、21番を除く）,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,月,20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,木
南区 川沿7条～18条の○丁目,札幌センター1,火 金,20140501 20140529 20140626 20140724 20140821 20140918,20140220 20140320 20140417 20140515 20140612 20140710 20140807 20140904,水,20140227 20140313 20140327 20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140731 20140814 20140828 20140911 20140925,月
南区 南沢1条3丁目1番（南沢やまどり公園）、20番、21番,札幌センター1,火 金,20140501 20140529 20140626 20140724 20140821 20140918,20140220 20140320 20140417 20140515 20140612 20140710 20140807 20140904,水,20140227 20140313 20140327 20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140731 20140814 20140828 20140911 20140925,月
南区 石山1条1丁目（12番6号パレス藻南公園のみ）,札幌センター1,火 金,20140501 20140529 20140626 20140724 20140821 20140918,20140220 20140320 20140417 20140515 20140612 20140710 20140807 20140904,水,20140227 20140313 20140327 20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140731 20140814 20140828 20140911 20140925,月
西区 琴似○条○丁目,札幌センター1,月 木,20140502 20140530 20140627 20140725 20140822 20140919,20140221 20140321 20140418 20140516 20140613 20140711 20140808 20140905,火,20140214 20140228 20140314 20140328 20140411 20140425 20140509 20140523 20140606 20140620 20140704 20140718 20140801 20140815 20140829 20140912 20140926,水
西区 二十四軒○条○丁目,札幌センター1,月 木,20140502 20140530 20140627 20140725 20140822 20140919,20140221 20140321 20140418 20140516 20140613 20140711 20140808 20140905,火,20140214 20140228 20140314 20140328 20140411 20140425 20140509 20140523 20140606 20140620 20140704 20140718 20140801 20140815 20140829 20140912 20140926,水
西区 発寒○条○丁目,札幌センター1,月 木,20140502 20140530 20140627 20140725 20140822 20140919,20140221 20140321 20140418 20140516 20140613 20140711 20140808 20140905,火,20140214 20140228 20140314 20140328 20140411 20140425 20140509 20140523 20140606 20140620 20140704 20140718 20140801 20140815 20140829 20140912 20140926,水
西区 山の手○条○丁目、○番地,札幌センター1,月 木,20140527 20140624 20140722 20140819 20140916,20140218 20140318 20140415 20140513 20140610 20140708 20140805 20140902 20140930,水,20140211 20140225 20140311 20140325 20140408 20140422 20140506 20140520 20140603 20140617 201407001 20140715 20140729 20140812 20140826 20140909 20140923,金
西区 西野6条～14条の○丁目,札幌センター1,月 木,20140527 20140624 20140722 20140819 20140916,20140218 20140318 20140415 20140513 20140610 20140708 20140805 20140902 20140930,水,20140211 20140225 20140311 20140325 20140408 20140422 20140506 20140520 20140603 20140617 201407001 20140715 20140729 20140812 20140826 20140909 20140923,金
西区 西野○番地,札幌センター1,月 木,20140527 20140624 20140722 20140819 20140916,20140218 20140318 20140415 20140513 20140610 20140708 20140805 20140902 20140930,水,20140211 20140225 20140311 20140325 20140408 20140422 20140506 20140520 20140603 20140617 201407001 20140715 20140729 20140812 20140826 20140909 20140923,金
西区 平和○条○丁目、○番地,札幌センター1,月 木,20140527 20140624 20140722 20140819 20140916,20140218 20140318 20140415 20140513 20140610 20140708 20140805 20140902 20140930,水,20140211 20140225 20140311 20140325 20140408 20140422 20140506 20140520 20140603 20140617 201407001 20140715 20140729 20140812 20140826 20140909 20140923,金
西区 福井○丁目、○番地,札幌センター1,月 木,20140527 20140624 20140722 20140819 20140916,20140218 20140318 20140415 20140513 20140610 20140708 20140805 20140902 20140930,水,20140211 20140225 20140311 20140325 20140408 20140422 20140506 20140520 20140603 20140617 201407001 20140715 20140729 20140812 20140826 20140909 20140923,金
西区 小別沢○番地,札幌センター1,月 木,20140527 20140624 20140722 20140819 20140916,20140218 20140318 20140415 20140513 20140610 20140708 20140805 20140902 20140930,水,20140211 20140225 20140311 20140325 20140408 20140422 20140506 20140520 20140603 20140617 201407001 20140715 20140729 20140812 20140826 20140909 20140923,金
西区 西野1条～5条の○丁目,札幌センター1,月 木,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,金,20140212 20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,火
西区 西町北○丁目、南○丁目,札幌センター1,月 木,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,金,20140212 20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,火
西区 宮の沢○条○丁目、○番地,札幌センター1,月 木,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,金,20140212 20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,火
西区 八軒○条西○丁目,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140419 20140514 20140611 20140709 20140806 20140903,月,20140212 20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,木
西区 八軒○条東○丁目,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140419 20140514 20140611 20140709 20140806 20140903,月,20140212 20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,木
手稲区 西宮の沢○条○丁目,札幌センター1,火 金,20140501 20140529 20140626 20140724 20140821 20140918,20140220 20140320 20140417 20140515 20140612 20140710 20140807 20140904,水,20140227 20140313 20140327 20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140731 20140814 20140828 20140911 20140925,月
手稲区 富丘○条○丁目,札幌センター1,火 金,20140501 20140529 20140626 20140724 20140821 20140918,20140220 20140320 20140417 20140515 20140612 20140710 20140807 20140904,水,20140227 20140313 20140327 20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140731 20140814 20140828 20140911 20140925,月
手稲区 手稲本町○条○丁目,札幌センター1,火 金,20140501 20140529 20140626 20140724 20140821 20140918,20140220 20140320 20140417 20140515 20140612 20140710 20140807 20140904,水,20140227 20140313 20140327 20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140731 20140814 20140828 20140911 20140925,月
手稲区 手稲本町○番地,札幌センター1,火 金,20140501 20140529 20140626 20140724 20140821 20140918,20140220 20140320 20140417 20140515 20140612 20140710 20140807 20140904,水,20140227 20140313 20140327 20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140731 20140814 20140828 20140911 20140925,月
手稲区 前田○条○丁目,札幌センター1,火 金,20140526 20140623 20140721 20140818 20140915,20140217 20140317 20140414 20140512 20140609 20140707 20140804 20140901 20140929,木,20140224 20140310 20140324 20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
手稲区 曙○条○丁目（曙12条2丁目を除く）,札幌センター1,火 金,20140526 20140623 20140721 20140818 20140915,20140217 20140317 20140414 20140512 20140609 20140707 20140804 20140901 20140929,木,20140224 20140310 20140324 20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
手稲区 新発寒○条○丁目,札幌センター1,火 金,20140526 20140623 20140721 20140818 20140915,20140217 20140317 20140414 20140512 20140609 20140707 20140804 20140901 20140929, 木,20140224 20140310 20140324 20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
手稲区 手稲前田○番地,札幌センター1,火 金,20140526 20140623 20140721 20140818 20140915,20140217 20140317 20140414 20140512 20140609 20140707 20140804 20140901 20140929,木,20140224 20140310 20140324 20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
手稲区 稲穂○条○丁目,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,木,20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,月
手稲区 金山○条○丁目,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,木,20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,月
手稲区 手稲金山○番地,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,木,20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,月
手稲区 星置○条○丁目,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,木,20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,月
手稲区 星置南○丁目,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,木,20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,月
手稲区 手稲山口○番地,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,木,20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,月
手稲区 明日風○丁目,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,木,20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,月
手稲区 曙12条2丁目,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,木,20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,月
